2023137236, 911, 2500 BLOCK  BROADWAY BLUFFS DR, 06/10,2023 @ 11:28
2023137220, 911, 2600 BLOCK  GRINDSTONE PKWY, 06/10,2023 @ 10:56
2023137182, 911, 500 BLOCK  N PROVIDENCE RD, 06/10,2023 @ 10:13
2023137178, Trespassing, 400 BLOCK  HICKMAN AVE, 06/10,2023 @ 10:05
2023137176, 911, 700 BLOCK  ANACONDA CT, 06/10,2023 @ 10:04
2023137165, 911, 100 BLOCK  DILLON DR, 06/10,2023 @ 09:48
2023137151, Harassment, 3900 BLOCK  BUTTONWOOD DR, 06/10,2023 @ 09:35
2023137149, 911, 200 BLOCK  UNITY DR, 06/10,2023 @ 09:29
2023137148, 911, 2000 BLOCK  CALLAWAY DR, 06/10,2023 @ 09:28
2023137133, Vandalism, 0 BLOCK  FOURTH AVE, 06/10,2023 @ 08:53
2023137125, Assault, 2400 BLOCK  BERNADETTE DR, 06/10,2023 @ 08:34
2023137122, 911, 1700 BLOCK  FORUM BLVD, 06/10,2023 @ 08:27
2023137121, 911, 1600 BLOCK  W BUSINESS LOOP 70, 06/10,2023 @ 08:26
2023137118, 911, 1900 BLOCK  W BUSINESS LOOP 70, 06/10,2023 @ 08:20
2023137115, Disturbance, 5000 BLOCK  ALPINE RIDGE DR, 06/10,2023 @ 08:07
2023137100, Theft, 1700 BLOCK  W BROADWAY, 06/10,2023 @ 07:48
2023137098, Disturbance, DERBY RIDGE DR/SMILEY LN, 06/10,2023 @ 07:48
2023137092, Disturbance, 0 BLOCK  FOURTH AVE, 06/10,2023 @ 07:33
2023137087, 911, 3100 BLOCK  CREASY SPRINGS RD, 06/10,2023 @ 06:55
2023137077, 911, 0 BLOCK  E BUSINESS LOOP 70, 06/10,2023 @ 05:35
2023137070, 911, 5100 BLOCK  CLARK LN, 06/10,2023 @ 05:15
2023137067, 911, 1700 BLOCK  FORUM BLVD, 06/10,2023 @ 04:45
2023137066, 911, 3400 BLOCK  BUTTONWOOD DR, 06/10,2023 @ 04:36
2023137064, Disturbance, 700 BLOCK  MKT TRL, 06/10,2023 @ 04:31
2023137061, 911, 500 BLOCK  HUNTRIDGE DR, 06/10,2023 @ 04:13
2023137051, Trespassing, 1400 BLOCK  W BUSINESS LOOP 70, 06/10,2023 @ 03:38
2023137046, Harassment, 5100 BLOCK  CLARK LN, 06/10,2023 @ 03:14
2023137044, Disturbance, 5400 BLOCK  VOLUNTEER DR, 06/10,2023 @ 03:11
2023137025, Trespassing, 800 BLOCK  N PROVIDENCE RD, 06/10,2023 @ 02:24
2023137018, Disturbance, 700 BLOCK  N GARTH AVE, 06/10,2023 @ 02:09
2023137017, Theft, 4800 BLOCK  CLARK LN, 06/10,2023 @ 02:08
